Clean_Runs,Mins,Balls_Faced,Fours,Sixes,Strike_Rate,Position,Dismissal,Inns,Opposition,Ground,Start_Date,Year
,9,3,0,0,33.33,3,not out,2,v England,Birmingham,2-Sep-14,2014
13.0,25,21,2,0,61.9,3,caught,2,v England,Leeds,5-Sep-14,2014
2.0,7,5,0,0,40.0,3,caught,2,v West Indies,Kochi,8-Oct-14,2014
62.0,124,78,5,0,79.48,4,caught,1,v West Indies,Delhi,11-Oct-14,2014
127.0,164,114,13,3,111.4,3,run out,1,v West Indies,Dharamsala,17-Oct-14,2014
22.0,34,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,2-Nov-14,2014
49.0,-,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,6-Nov-14,2014
53.0,-,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad (Deccan),9-Nov-14,2014
66.0,109,64,6,0,103.12,4,run out,1,v Sri Lanka,Kolkata,13-Nov-14,2014
,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,16-Nov-14,2014
9.0,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne,18-Jan-15,2015
1.0,11,13,0,0,7.69,3,caught,2,v Australia,Sydney,26-Mar-15,2015
1.0,9,4,0,0,25.0,3,caught,2,v Bangladesh,Dhaka,18-Jun-15,2015
23.0,57,27,3,1,85.18,3,lbw,1,v Bangladesh,Dhaka,21-Jun-15,2015
25.0,55,35,1,0,71.42,3,bowled,1,v Bangladesh,Dhaka,24-Jun-15,2015
11.0,29,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,11-Oct-15,2015
12.0,24,18,0,0,66.66,4,run out,1,v South Africa,Indore,14-Oct-15,2015
77.0,155,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,18-Oct-15,2015
138.0,202,140,6,5,98.57,3,caught,1,v South Africa,Chennai,22-Oct-15,2015
7.0,11,6,0,1,116.66,3,caught,2,v South Africa,Mumbai,25-Oct-15,2015
91.0,148,97,9,1,93.81,3,caught,1,v Australia,Perth,12-Jan-16,2016
59.0,84,67,4,0,88.05,3,run out,1,v Australia,Brisbane,15-Jan-16,2016
117.0,174,117,7,2,100.0,3,caught,1,v Australia,Melbourne,17-Jan-16,2016
106.0,131,92,11,1,115.21,3,caught,2,v Australia,Canberra,20-Jan-16,2016
8.0,11,11,1,0,72.72,3,caught,2,v Australia,Sydney,23-Jan-16,2016
,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,16-Oct-16,2016
9.0,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,20-Oct-16,2016
,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,23-Oct-16,2016
45.0,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,26-Oct-16,2016
65.0,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,29-Oct-16,2016
122.0,147,105,8,5,116.19,3,caught,2,v England,Pune,15-Jan-17,2017
8.0,6,5,2,0,160.0,3,caught,1,v England,Cuttack,19-Jan-17,2017
55.0,81,63,8,0,87.3,3,caught,2,v England,Kolkata,22-Jan-17,2017
